"Site","DateTime","PT1Q","PT2Q","MeanDischarge"
"FRCH",2019-07-21 01:30:00,145.463311228888,145.811269006626,145.637290117757
"FRCH",2019-07-21 01:45:00,141.742120721007,145.811269006626,143.776694863817
"FRCH",2019-07-21 02:00:00,141.742120721007,147.582617600575,144.662369160791
"FRCH",2019-07-21 02:15:00,138.020930213127,142.268571818728,140.144751015928
"FRCH",2019-07-21 02:30:00,139.881525467067,140.497223224779,140.189374345923
"FRCH",2019-07-21 02:45:00,139.881525467067,142.268571818728,141.075048642898
"FRCH",2019-07-21 03:00:00,139.881525467067,140.497223224779,140.189374345923
"FRCH",2019-07-21 03:15:00,139.881525467067,145.811269006626,142.846397236847
"FRCH",2019-07-21 03:30:00,141.742120721007,144.039920412677,142.891020566842
"FRCH",2019-07-21 03:45:00,138.020930213127,144.039920412677,141.030425312902
"FRCH",2019-07-21 04:00:00,134.299739705247,138.72587463083,136.512807168038
"FRCH",2019-07-21 04:15:00,138.020930213127,142.268571818728,140.144751015928
"FRCH",2019-07-21 04:30:00,138.020930213127,138.72587463083,138.373402421978
"FRCH",2019-07-21 04:45:00,141.742120721007,142.268571818728,142.005346269868
"FRCH",2019-07-21 05:00:00,138.020930213127,138.72587463083,138.373402421978
"FRCH",2019-07-21 05:15:00,136.160334959187,142.268571818728,139.214453388958
"FRCH",2019-07-21 05:30:00,134.299739705247,136.954526036881,135.627132871064
"FRCH",2019-07-21 05:45:00,136.160334959187,138.72587463083,137.443104795008
"FRCH",2019-07-21 06:00:00,136.160334959187,138.72587463083,137.443104795008
"FRCH",2019-07-21 06:15:00,138.020930213127,142.268571818728,140.144751015928
"FRCH",2019-07-21 06:30:00,134.299739705247,142.268571818728,138.284155761987
"FRCH",2019-07-21 06:45:00,136.160334959187,140.497223224779,138.328779091983
"FRCH",2019-07-21 07:00:00,134.299739705247,140.497223224779,137.398481465013
"FRCH",2019-07-21 07:15:00,134.299739705247,138.72587463083,136.512807168038
"FRCH",2019-07-21 07:30:00,128.717953943427,136.954526036881,132.836239990154
"FRCH",2019-07-21 07:45:00,134.299739705247,135.183177442932,134.741458574089
"FRCH",2019-07-21 08:00:00,130.578549197367,135.183177442932,132.880863320149
"FRCH",2019-07-21 08:15:00,126.857358689486,136.954526036881,131.905942363184
"FRCH",2019-07-21 08:30:00,124.996763435546,133.411828848982,129.204296142264
"FRCH",2019-07-21 08:45:00,128.717953943427,129.869131661084,129.293542802255
"FRCH",2019-07-21 09:00:00,130.578549197367,135.183177442932,132.880863320149
"FRCH",2019-07-21 09:15:00,130.578549197367,135.183177442932,132.880863320149
"FRCH",2019-07-21 09:30:00,130.578549197367,135.183177442932,132.880863320149
"FRCH",2019-07-21 09:45:00,132.439144451307,135.183177442932,133.811160947119
"FRCH",2019-07-21 10:00:00,130.578549197367,136.954526036881,133.766537617124
"FRCH",2019-07-21 10:15:00,126.857358689486,133.411828848982,130.134593769234
"FRCH",2019-07-21 10:30:00,119.414977673726,133.411828848982,126.413403261354
"FRCH",2019-07-21 10:45:00,123.136168181606,128.097783067135,125.616975624371
"FRCH",2019-07-21 11:00:00,123.136168181606,128.097783067135,125.616975624371
"FRCH",2019-07-21 11:15:00,121.275572927666,129.869131661084,125.572352294375
"FRCH",2019-07-21 11:30:00,124.996763435546,124.555085879237,124.775924657392
"FRCH",2019-07-21 11:45:00,123.136168181606,128.097783067135,125.616975624371
"FRCH",2019-07-21 12:00:00,128.717953943427,133.411828848982,131.064891396204
"FRCH",2019-07-21 12:15:00,130.578549197367,129.869131661084,130.223840429225
"FRCH",2019-07-21 12:30:00,126.857358689486,129.869131661084,128.363245175285
"FRCH",2019-07-21 12:45:00,123.136168181606,129.869131661084,126.502649921345
"FRCH",2019-07-21 13:00:00,130.578549197367,129.869131661084,130.223840429225
"FRCH",2019-07-21 13:15:00,128.717953943427,131.640480255033,130.17921709923
"FRCH",2019-07-21 13:30:00,130.578549197367,128.097783067135,129.338166132251
"FRCH",2019-07-21 13:45:00,126.857358689486,129.869131661084,128.363245175285
"FRCH",2019-07-21 14:00:00,128.717953943427,129.869131661084,129.293542802255
"FRCH",2019-07-21 14:15:00,130.578549197367,128.097783067135,129.338166132251
"FRCH",2019-07-21 14:30:00,124.996763435546,129.869131661084,127.432947548315
"FRCH",2019-07-21 14:45:00,126.857358689486,131.640480255033,129.24891947226
"FRCH",2019-07-21 15:00:00,128.717953943427,129.869131661084,129.293542802255
